,name,link,fit,sleeve,length,pattern,material,neckline,skirt,detail,imagefile
0,신디레이스원피스 RNS1952,https://cr2.shopping.naver.com/adcr.nhn?x=oo42Hpvh7NL6dIZp%2FSaxpf%2F%2F%2Fw%3D%3DsCNweQcJohZfMcuUQmacLb0jvlrJDdwe1Tp71FSKG1MbIgNf4eTbqeTm9yhmWyopG6PwT3Z%2B%2FhumURcpbXiYp%2FIYlFAdf1OFsetsPTCIBnAtPOdYsvqvAV2kweJQXbUmGrpV2LKOnLyblGIpgSz69jPcAaFe54Rq29svJZs4Wyu5a%2FEM2yT5TZv%2FwZHRBM2unA9uc3LsDXbovL%2FD28dIpEZ9%2Bw5fyb2S%2B0WKUIuNO0Akl8HAYn6NkzRDrGPGQ2ZUxBt12chFbj0UKqGoHWtjor0aAb%2FOdjaJ2XbA%2BJKlL%2B499LsW4RgipVPKA%2F2IN4cAJ4mmic2vQ8l3OPvPdLBTB5%2B6UB08G4lR0a9fquA%2FPNrLYi%2FCLKxczPMoTRK91g4JO9KdF7iUPPKjT9mYGp7mq1Brv6tDzHWai9n4avpR9ePgQvPW9MHKWIc4bqFK%2BzDGDQ6jAdL9%2BN2ClW%2BtFeczo%2BvMEm%2Bf%2FErDBfrsiTrobJc%2BkKmoYcCwGQaRU6cfzZ1lHFNrvuZZiA06MR10lQKkbDTvUXe%2B6VT265Sl0oyet8xlmVaGAf0Guwym%2FapC0Gs%2ByWYrk0iHyrSXPylPU%2B9wkxr9Xf%2BSEiug2NJUKo%2FNJ3KaygGPcmUDs8ClmhRkHrRfIpHTexrUm23KR89u2hyBoYu2WDGjQwQQZqppbDa6KC4h4Y8bQpJ%2BCFgeJwec9QEhyo%2B2sU8SxO8NitHldWrygsts1vbKafGQ1E4c6nCYjInk3X5JHRxB17kdSSeS1uCOn&nv_mid=82367802275&cat_id=50000807,기본핏,7부,미디,플라워,"폴리에스테르, 나일론, 면",라운드넥,A라인,"자수, 레이스, 벨트",img_82367802275_0.png
0,레니본 티나 레이스 원피스 RNM3902,https://cr2.shopping.naver.com/adcr.nhn?x=Jp5NS0G%2Baw3zDSFE1tgrUP%2F%2F%2Fw%3D%3DsDanzjWODg09fatBk3pZiS8d2fpNkGMNYeo9zpaZmV%2BAPHFR5afS5jf7g77jdHwj2%2BCWEyjOPIA3lj0JquF4HHmM5ywTNbvkDUq403b3HrmP3mrP9L3bKHJ%2FdpwvsNiiCpXg53GbnguRRnbpI51gtk6j%2BgIei0wcfD7TF6VA3PmNrh6rgALZUwsXlemrN5Wj8c%2Bz03%2Fk6E3umo8kRsQ%2BuklcMXxsZ5YxnXDTf1Kyc58MvcwaJyugslJObIohizNgCrsQsqw%2B5Sbuoa9UI3suaQFJvJaswEAHzh4%2BeL8l2tv4xYwKYCF2wSheYXztta1k90KwhYrfAVEmMb%2FMhECMzRrr9GyESxlku1GP2cO77NQ9NBUR99N1KkKULm03bvgGnpHj3bf6TsTRW4ch01soED%2FGhB8Ps6FHHxGqpxVzRGw2UOfKN3ZtHjKjhmdVIu9A3VS%2Fz2dZmR8ajn4E%2F46UoD9QCWf6Fy21spsmrCDNLxfUy3i4V8fjdpN%2FdOkm8by08whE%2BfHT7c%2BxF84BfE3jKaHfn7YcQ45z4xEgftk58WZGGPv2KiwHorDmlfYLCMQ3Nqan3Kvks6TCKOI26EElE5RT4JsxQVruF9MqOUWzLESZNnWiU72g2nqWhhOS9wPC7of8uW3A0zKmYJ9PxnDdqnkqNWw6LFCkHbIVZhu08898UYgKTLWTD%2BgcTcoXugCri6JfcChYtyf%2BPpVZk2fh4tckPN4zc5ftblodduYvA6yXEEBA%2FlmN3XCsMQx2RLf4Wl6TlF0GVUDfigldVoQsazA%3D%3D&nv_mid=82415690297&cat_id=50000807,슬림핏,반팔,미디,무지,"폴리에스테르, 면, 나일론, 레이온/인견",라운드넥,A라인,"기타, 무지, 레이스, 리본",img_82415690297_0.png
0,레니본 신디레이스 원피스 RNS1952,https://cr2.shopping.naver.com/adcr.nhn?x=2WGQIC4HrQHHnkTpUgVDI%2F%2F%2F%2Fw%3D%3DssCgPPc4hUyeWUN2ZxCMO4r9adTyd7TvqF8w2GH9LW%2BasixZDXIVyoINwY%2Fhsu6R9Si6grB6kWAfQ9IypNgM5u2M5ywTNbvkDUq403b3HrmP3mrP9L3bKHJ%2FdpwvsNiiCpXg53GbnguRRnbpI51gtk6j%2BgIei0wcfD7TF6VA3PmNrh6rgALZUwsXlemrN5Wj8c%2Bz03%2Fk6E3umo8kRsQ%2BuklcMXxsZ5YxnXDTf1Kyc58MvcwaJyugslJObIohizNgCc%2BHE7fk%2Bturt23hWI7oxLVJvJaswEAHzh4%2BeL8l2tv4xYwKYCF2wSheYXztta1k90KwhYrfAVEmMb%2FMhECMzRrr9GyESxlku1GP2cO77NQ%2FB01Kp8m0%2F9IssItodvTOqq8RMuKidSoZp2i9mn4sgMY4FIdX0RH9maAYxxSnIi%2FH4hOsztZtb6ADU3DTmffYN1txX7mHZ%2FqFjygr4zoMRJC7mPBRR7TaFGna%2BPi2tRLnQxnMg7%2BLTHK5bRjqfXkB0whE%2BfHT7c%2BxF84BfE3jKaEaCjhihDjYqPNGJBUs4sLWGPv2KiwHorDmlfYLCMQ3NL1P%2Fnaob8nM9Ob1J%2BffEzBT4JsxQVruF9MqOUWzLESZNnWiU72g2nqWhhOS9wPC7of8uW3A0zKmYJ9PxnDdqnkqNWw6LFCkHbIVZhu0889%2FD%2F6vPI%2BaiKk0xfCWZstHG8dAXgNBXpNHFMFHBMI9258kPN4zc5ftblodduYvA6yXEEBA%2FlmN3XCsMQx2RLf4Wl6TlF0GVUDfigldVoQsazA%3D%3D&nv_mid=82370597344&cat_id=50000807,슬림핏,7부,미디,플라워,"폴리에스테르, 나일론, 면",라운드넥,A라인,"벨트, 레이스",img_82370597344_0.png
0,(쥬크) 캐시미어 플리츠 니트 원피스 Z194KSE011,https://cr2.shopping.naver.com/adcr.nhn?x=9tT4VXQzZSCFyFc%2FDpRqCv%2F%2F%2Fw%3D%3DslflVbrZisgNCACfW8bVNYO%2BwvuMITn8GSRgo%2FQw43AZR3KLLlo5rGoPgC3hmOuFel%2BbOxiyzV%2B%2F4btG3sVR2dGVyf4fEeIwpi1WJR%2F5%2FpReVK5hNxRUBW3Fkia%2BRgsFTnHsZgoPPYlfMVBX2HdZui0caK%2B8QHBl5EDzCHkiTfNHvb4W%2B5ydv0T%2B5QMWezLMlUaGimURpLp1cstwbh%2FL6ye56vr9h9VoFduCJdN2ys%2BL8sDxCrG1R0O6gc7aEEhECk7uuB4kyVT5lUJyX%2Fw9PcA7TOu%2BiZGPPbCns0fxzoFb4FjQLKtgpdaxOC6%2FeJ5KosPFNkchYwWiua4avTMsWH6fCLd0EJlKtx3WA4Dq2fB%2F4XEmw8uLirRj7zjM%2FjfbOqgpLrRJtSMfkDBrHwPkscvGhB8Ps6FHHxGqpxVzRGw0oz5OLVyCWkqMMNEio24woFbQ90N9ElK7fh4oEjcvks%2B49XPNVN2oj5OFDxJka6HtNNHna3PfY22W56Pi0ZhYwWaljYP8CIKFqLM4wlC0uMF2uAX1njeRhrUhKigQ3frdLzgsFQPOJWKiJkaeSU9Gc8mXEexW%2Fc6NlFkfc1sqBSx6ZbJl4jMRxAxdjby8HlenBL%2BntKALN2yfAUtTb%2BLcrQy9NnYtPgNhpHFWFO1LUJko6dOXl%2FNWutvVeHJLMHN2C%2Fd%2Fk5ev5%2BoybEsUNOSFGgyUjHQ4Ej8Kg5IUa3rZ2OTqNI3RChJUeHI73pYPiUMuFV4%2FcETo5dAa7W7DRLQP53AA61hH%2FAfdywYFhxstH2A%3D%3D&nv_mid=82290843155&cat_id=50000807,루즈핏,긴팔,롱,기타,"모, 나일론, 캐시미어, 폴리에스테르",라운드넥,플리츠/주름,기타,img_82290843155_0.png
0,지고트 자수 패턴 롱 원피스JK4A0OP99,https://cr2.shopping.naver.com/adcr.nhn?x=BG1NLdM3Tsh%2FS%2FBPbvnlhf%2F%2F%2Fw%3D%3DslwsbWW12goMf%2FZRl8aSUSfp%2BW1NPievhS8MdtWxka2khWUsjODQGrbfXLeVAmbLCSRLdcduTN%2BaTqiQ23qtufNqUHsgHKRqzd6nX3jcvUwOdH42U7aNy%2BGYWPOIcmanYhFJx%2B%2Bmy33vagIbzplgWWrIEatwtXhbYj3phXgLNiff%2BJmwpg06noh9ptOw5hKp6obm40a3AfVHNV15D72g8jm26YI%2FkcEfVeLDnwysTo3MRJ3g%2FoVgzLZ6frOItWuvN7shHwaEzpaSqasIcwguGJdWN%2FchhV1d04LIGrXJUbzg427ngu9Ku5Ti5fmyIKbcNfm5IA8mkaCGulhqR4WtRHpI0ATT7UDqLFrBc8%2BGsW46HD53ZVarrbwEPm9PntJVF1FvesdRdozhYxTn2vtFK55t43sYhUys88YQO8o3Yx6RI2LL8kbMnANfBnZom4SEUe7s1lvPLzMQNfxm62UYUFINTFHGyN7cpVSJy3RrO51Uj%2Bzq%2FcPTIw99vGXBe2sUyQo3yU2ReTnmd2mCssRY8s9929DwqvryeYHo9C4p2%2FavxgrbpMVGLvA4znoVD90Jt2VYRaz8GYEqnWK9lsVUwJ21Y2kbedrTWaf9%2Ba2bd9Jo3LeVAtmMWijTLsdvLkwjj%2Fj5uO0prENipCXzvaehXMZ9eV94bsWgba4D9QSfPYS0yloDk8aYqlDxGMT%2BqmT3SOo0jdEKElR4cjvelg%2BJQy10i%2FCkTWkl0gHH9yDjf3%2F40oABncpFOurBbLcs3Kk3C&nv_mid=82399314284&cat_id=50000807,슬림핏,7부,롱,기타,"폴리에스테르, 나일론, 면",칼라넥,A라인,벨트,img_82399314284_0.png
0,지고트 플라워 프린팅 플레어 원피스 JK4A0OP91,https://cr2.shopping.naver.com/adcr.nhn?x=MRZ0NXjTLyqXGYDRgEWwQ%2F%2F%2F%2Fw%3D%3DswwMbzFgGCoNfkjRtRAr1L5dNxTVCBRgNma8wwbvGgpPuPT0eURcMkAvbmSsfAVdjl7N%2FF47fnGBxp7Q1dnQNFoYlFAdf1OFsetsPTCIBnAtPOdYsvqvAV2kweJQXbUmGrpV2LKOnLyblGIpgSz69jPcAaFe54Rq29svJZs4Wyu5a%2FEM2yT5TZv%2FwZHRBM2unA9uc3LsDXbovL%2FD28dIpEZ9%2Bw5fyb2S%2B0WKUIuNO0Akl8HAYn6NkzRDrGPGQ2ZUxgYjbGng2Ri32SJUB5TjXvUaAb%2FOdjaJ2XbA%2BJKlL%2B499LsW4RgipVPKA%2F2IN4cAJ4mmic2vQ8l3OPvPdLBTB5%2B6UB08G4lR0a9fquA%2FPNrLWF2KP60uj%2BLv5%2By8rO7b5dvl1mwneVGVgz92pp1Ss6UD%2BhhiJy%2BeDJvd2vJjkI8YscGvncF33%2B9pbFtxMHxvZNdDBYQGZpj7TBhRWReFtbJl6HKtzh9DGAIK1LVJzlu1kRdPFq2CuHuWgwDg9LVLtUlhxo9Gv8vFhhMkX8Xqmbbbxl6kazE9hdPAwLG%2Bk0i3CF6JhrWd%2FWmMvz8XfM%2FOM3g%2FOhkP4EkTc%2BSH0Ve39FpdmNWnIamH%2ByQyruu4xpW1tUzCoG5zes5o%2BD%2F%2B1ZOSWGpzutht1sHQ2z6MbUNHKSLTlMbpG04H0JK6nIAibF4rhkSw1KiM16fKBw7Ej28cwdN3RSqmBkwzG4DVjZm%2BgPOxcyq%2BceYo69TtIfzpOoJkJahh2HSsiK4pK0xKhiwUJuhhoQ4K9tnhzANneLT480g%3D%3D&nv_mid=82440439757&cat_id=50000807,기본핏,민소매,미디,플라워,"폴리에스테르, 나일론",V넥,기타,벨트,img_82440439757_0.png
0,[키셰리헤] 핑크 슬릿 드레스,https://cr2.shopping.naver.com/adcr.nhn?x=kgjPCJVgJKtZFenhogEz3P%2F%2F%2Fw%3D%3Ds25FArMcxnjfcvlhf2aH2yvEOdAQK8ElBU%2FuPQ4MZ5oqmZu4bqAQr5IS0917GEFSSVHYktHHO%2B3heNkWzKxmgw2Vyf4fEeIwpi1WJR%2F5%2FpReVK5hNxRUBW3Fkia%2BRgsFTnHsZgoPPYlfMVBX2HdZui0caK%2B8QHBl5EDzCHkiTfNHvb4W%2B5ydv0T%2B5QMWezLMlUaGimURpLp1cstwbh%2FL6ye56vr9h9VoFduCJdN2ys%2BL8sDxCrG1R0O6gc7aEEhECAPT47wuwjZFcn0nD2uDa%2FA7TOu%2BiZGPPbCns0fxzoFb4FjQLKtgpdaxOC6%2FeJ5KosPFNkchYwWiua4avTMsWH6fCLd0EJlKtx3WA4Dq2fB9%2B2pNf0lwI3L4KV%2BtCuJ1K6TQ9OxaJdBIO02TYUKJRYI4FIdX0RH9maAYxxSnIi%2FFAmhDTenuiVfTsYvwuikgXyFqv6w9QXZ4l7w22IIPwhf2Fd0CU1nKSOmvILFATbsZqeih%2BUTIqvLmhtIQQKqKZEfpPZGy4%2BdS9YDR7Ifo67iMKxDYpa%2Bj3cTCO3axeevt%2BMTm9A07wDjlNrg47HozJ8HHDKGAvayK%2BsalZQtfFuB6p8N19TlKndV3GAY2Sbg92ma6EL%2BgxOv%2Brv9dN%2FLXhgcwe9Px0bHbidSxXP%2By3lmmUY8BpiEGBoUVQ4uQpwjGq7864L%2FMvNmsPfQEECBx5oH6Kwlq1HQ9f3i%2F%2FJUpdd4sQhilBRgYdO5DhLEDSMY5lZmyg6%2BSv8TVS2X6MZJ8y&nv_mid=82409824088&cat_id=50000807,기본핏,반팔,미디,체크,"면, 폴리에스테르, 레이온/인견",칼라넥,H라인,프릴/러플,img_82409824088_0.png
0,[키셰리헤] FW19 체크 더블 레이어드 드레스,https://cr2.shopping.naver.com/adcr.nhn?x=nWuIaKQ3f8iCfMb1AlInNP%2F%2F%2Fw%3D%3DsKVLNJ7eNC3VEhreOb5s25%2BazcneyvD8S1V8cpLbnMv3vIc7YpJrK3uoBM%2FUtju8pZmGKCX4oJAX4y5eJgPKQgmVyf4fEeIwpi1WJR%2F5%2FpReVK5hNxRUBW3Fkia%2BRgsFTnHsZgoPPYlfMVBX2HdZui0caK%2B8QHBl5EDzCHkiTfNHvb4W%2B5ydv0T%2B5QMWezLMlUaGimURpLp1cstwbh%2FL6ye56vr9h9VoFduCJdN2ys%2BL8sDxCrG1R0O6gc7aEEhECqxqEaGn5U6GarLHRVWpAVQ7TOu%2BiZGPPbCns0fxzoFb4FjQLKtgpdaxOC6%2FeJ5KosPFNkchYwWiua4avTMsWH6fCLd0EJlKtx3WA4Dq2fB%2FVd6rIAks%2BJhPKk34bpde0nBaQJI2CI4ZRI7MtvUNOuPGhB8Ps6FHHxGqpxVzRGw0PLsCi1BSFNIBU6opNYCso7ojvWAiToIgvrBjtj6l0qLZRbN4Ul97ApME9rk3fU5XguedJzgusb798xCAYuCfbyMrnRy%2BNmiA7Y6uOwO%2Bgv88uBJ9rBwgHxz%2BVdR8SgZR%2Fgs7stfMhCQxp8tKtRPFe1h3LCBm7mFiSST0XYYYqkUb4s8Z5l3npC3GJqD9acXgUGFnRcKGFLRGeLaViot6upIIsRxw6SCa1UOV%2By1ogAvU4uW9o7ck35ilBsUn4%2BEVIIbzHhaoFOF5GLNV8UP64j8WhaFdiVGgQhRG9FVrCi2JIEsQmqTERMY2XzIGp7cvLoAJK0M63VBNwx7ccz39tZpD1YNtQXYL1R4EsQQ2c7w%3D%3D&nv_mid=82181030366&cat_id=50000807,루즈핏,긴팔,미디,체크,"폴리에스테르, 레이온/인견, 스판덱스",칼라넥,A라인,"레이어드, 리본",img_82181030366_0.png
0,[까이에] Ethnic Print Draped Dress,https://cr2.shopping.naver.com/adcr.nhn?x=vueWkWZRtAy%2FndA%2FVvjq6%2F%2F%2F%2Fw%3D%3Ds%2FIfLz9eiq4sDtHN8FkERG0wzB5TNlBL%2B6AacCjj4kcg%2BmHGjKJO2YMxGhxfgUAtTzI8o8KtELWLRehiTkmqQsmVyf4fEeIwpi1WJR%2F5%2FpReVK5hNxRUBW3Fkia%2BRgsFTnHsZgoPPYlfMVBX2HdZui0caK%2B8QHBl5EDzCHkiTfNHvb4W%2B5ydv0T%2B5QMWezLMlUaGimURpLp1cstwbh%2FL6ye56vr9h9VoFduCJdN2ys%2BL8sDxCrG1R0O6gc7aEEhECOfoI5dVIgupJDPw5vOlinQ7TOu%2BiZGPPbCns0fxzoFb4FjQLKtgpdaxOC6%2FeJ5KosPFNkchYwWiua4avTMsWH6fCLd0EJlKtx3WA4Dq2fB8h2Hl0EWT0IvgioNZuKteKyCaCtTbMzkx37cQjNLbWQUD%2BhhiJy%2BeDJvd2vJjkI8ZSBL3Z%2BsYz9qn6ftYnXKKgW2gRHUMecu%2BqyKgpdhzGW5%2B%2FfYOYRfAzDAUSIessCH2tfjNUinOhSfhxvNXG5k8S9XQsnC1e63T1Yu2z1zyI8wBfU6gJ73elrkTt4BbzxizmU1NuP1mrskX9o29S8Dtyj8BMUJPLSZCh8ghyXB%2BFJ79Xf%2BSEiug2NJUKo%2FNJ3KYTn90J%2F67FlrOfNn1Bt%2Bv2CAriB8%2BD5DVRhZ4QiYICwhR5vJcNgAgf4bhwk2ui4deESMpT0L4k4jtMXQDqUhYQZpyV5QkosscjNH9q3p96E1MIn9Bh6zPGgc%2BUqZZmTZ6WB5EtRaDIfa9eQ0LmbjF7&nv_mid=82386916165&cat_id=50000807,슬림핏,긴팔,롱,기하학,폴리에스테르,터틀넥,H라인,기타,img_82386916165_0.png
0,[까이에] Choker Style Cotton-Blend Dress 초커 스타일 코튼원피스,https://cr2.shopping.naver.com/adcr.nhn?x=c8%2Br8IH7G5h%2B3F0X%2FB3IgP%2F%2F%2Fw%3D%3DsISQMQJhRF6Yj2HWwdp5PccojVHr8ccO2egw2trv6dG8ulPJYMS%2B%2Flz0WxJ8ERqypBtlkKaduWl8HZgFrtIOiP6l6LyjznO%2FsH0Pfuqo3X76p4IBYqxUkkcWo13LGeTJNAdwtI3lOa4zZzrMqssecFgDBoQzPQZNjfK0c5GlEEIuTLA7x9hMqac4U7LsSnJZX7SFIx%2FiU8FHB8TMgNXyZq31wFkbO30K4iH8DIsVS%2F5IqUOY4GKYy22Pvlriy3rEEOLUDewbKyrDVn%2BTdZbh117norlAFBEuxAUIhghMF0kClopbpieagPRoipJ%2FEZ19DagiK5o1NShQDksdLRQC9awVOsrG0SlPHzAh5vONfPLCKX87YAom2uB0smExsgeo7qwtDoN5AO95hDa3SHhpVBBrv6tDzHWai9n4avpR9ePhSgYeyBg69u6Y%2Fv9Aq%2BN1x8OQieJ724rnvBcodUcdmoKHb6nY0ky1wZNbgxO5UiqRquFdN0tFE4z%2Fw18D0cO9uUV3nDvVcTjBkZmCiHL0JF098YKFVY%2FYnGo3z2lPYkGlyNT0b8b62KxHLy4ltLFEfttvYim0el0hgQt7Bbg0yWPJlxHsVv3OjZRZH3NbKgUtxCw5WXjXZPm0xya0LUO8lKQnK9%2BSy99j6wdu%2BaClOVERYKzxOFlv1qgJSCA%2BxqAiE8BIsurJuaYCamBKdEie%2B2XtlakPDhldwlr4ynPgiH7IHuDaLdAvSR6OWQ1Tz82hVsRyDDh%2Fu8O9%2FByjF2w%2F%2FNyZHL0%2F6SA2ZWq6nJpBkRO87W5kyYM1TFtpGIpR%2F8FhenxFTYB%2BIC9JqbmKwjMq6&nv_mid=82421359373&cat_id=50000807,기본핏,반팔,미디,무지,"레이온/인견, 나일론, 스판덱스, 폴리에스테르",V넥,A라인,기타,img_82421359373_0.png
