,name,link,fit,sleeve,length,pattern,material,neckline,skirt,detail,imagefile
0,지고트 원피스 JIAAOOP16,https://cr2.shopping.naver.com/adcr.nhn?x=WJvRauL1WEwc6rbsiUKAd%2F%2F%2F%2Fw%3D%3Ds3fFgK%2Fjmd6AJG0fy6n9Goqly8CgI05V0lmIoQu7RmJ38MPyWURu5ThMb%2BxosbAaVPjaLi6%2F3RkyRJYJGlr3gQoYlFAdf1OFsetsPTCIBnAtPOdYsvqvAV2kweJQXbUmG7HCWZL951A7h770YipocF05W9JXu3qijr2upgGlbnBowZ%2ByPs7lthStE6ImfxmIfmjoIjx30OIlJm44LKcmfv59%2Bw5fyb2S%2B0WKUIuNO0Akl8HAYn6NkzRDrGPGQ2ZUxi0Kxu6TSpGCHQx17ayL7mUaAb%2FOdjaJ2XbA%2BJKlL%2B499LsW4RgipVPKA%2F2IN4cAJ4mmic2vQ8l3OPvPdLBTB5%2B6UB08G4lR0a9fquA%2FPNrJ79Q9mXN5HTbVVEqzQPoDWBqHp1EJ2mmF78z1VNLVcLRrv6tDzHWai9n4avpR9ePjXyktzTUYHsuat3iRaooJZizTeQJ9Sef%2FOBuO48u9qmdc9ital2Ht78Su2HBUaq%2BOBf617%2B8wqsUyv6rjExVEuIQVlIl2%2BfITR%2FAlT9ysEO0JKuAcYDZT47i5qICAB7XCvR7v4c3x3cC4KTy8J0yBp23pVSYlxqUct0ZPOVbAACL0%2B2LfxivTHt2XqNlrIg%2BpI7jwmr1lOqUj8TFQyxaqb7ipmxIUIMQKQL%2FUVSeqXAd%2FdlJl5DrKqy%2Fx1%2BwTiiKjv14ij7J5zp%2FgignInqOu46XLByH%2FAvmAvrz%2FK6r3yuls96QzgU7Q6upsYY%2F0gdoDyHmY60xjbspOW31KsnWJJ&nv_mid=82236363988&cat_id=50000807,슬림핏,긴팔,미디,체크,"면, 나일론, 폴리우레탄, 폴리에스테르, 견",V넥,H라인,기타,img_82236363988_0.png
0,지고트 원피스 JJ2AOOP30,https://cr2.shopping.naver.com/adcr.nhn?x=EZD%2BS9x1mlRDF8RlHQjMnf%2F%2F%2Fw%3D%3Dsz%2FgKel%2FXA6Xbghoh2pfV9cnkikykTycnYh7cFTujFnc2Z7XhBTI77mdQOc2k342EI957Ug3oA1kr7mN1CuAJqGM5ywTNbvkDUq403b3HrmP3mrP9L3bKHJ%2FdpwvsNiiCJYdU%2F4mwTiIsXK8%2BYduCBnTmF6HxPZTlLZNTQUE%2F4Vyi7qbIchKln5NwWaA9%2BcKnc%2Bz03%2Fk6E3umo8kRsQ%2BuklcMXxsZ5YxnXDTf1Kyc58NvrJta4S%2B2%2B%2FTRx2zu%2F6oKqM0pHN9fFLirBI3Wxp5D3lJvJaswEAHzh4%2BeL8l2tv4xYwKYCF2wSheYXztta1k90KwhYrfAVEmMb%2FMhECMzRrr9GyESxlku1GP2cO77NQ8Qbtj9%2B698gpnJRmIrRGufa6S4H27gJloMzNH13xXOTMfaDjCW6HUREq33zSyI9slnIPSj2EYqejbpPI4pMP%2F%2FOHjVUwty3I%2F8rFqsrAqeUNoQsdwp0FdntQO0lztPyBTFjqQKZVbrtTBZKkZLNnPXCPAhiH0qkmdBXxlexvb5wIY%2B%2FYqLAeisOaV9gsIxDc2CDntSNltM2QPa59rZn5mRluvhfxEIhDBF5Ya06C20QVHjr0t%2FLW0fmP8uMVc0UTyIpo3jATlROMxGU%2F9nHBhguuw6DV1GWtB2Xc6i8JpKAJPx8ByqpZGSVe1FB7SJolrWqPcPeJPmUJX8k1pLYnJRuvVrguY4jLU3Us7AI5ZYxeAD0eUxy7y%2F6jiHPVga%2BoVenxFTYB%2BIC9JqbmKwjMq6&nv_mid=82214271701&cat_id=50000807,슬림핏,긴팔,미디,체크,"폴리에스테르, 면, 아크릴, 나일론, 견",터틀넥,A라인,기타,img_82214271701_0.png
0,DCOK91101W 후드머플러홀가먼트롱니트원피스,https://cr2.shopping.naver.com/adcr.nhn?x=gq4O3FLg0XP46HzzH45NNf%2F%2F%2Fw%3D%3DsnIBHsxOtW7M%2BXOhpZPbV3x86yfGHW3N542eS%2F%2BAhMIpMGdKEVi9cZLZ4vEXibfCjafw1zEy%2BIx24GqM4epFnXGM5ywTNbvkDUq403b3HrmP3mrP9L3bKHJ%2FdpwvsNiiCJYdU%2F4mwTiIsXK8%2BYduCBnTmF6HxPZTlLZNTQUE%2F4Vyi7qbIchKln5NwWaA9%2BcKnc%2Bz03%2Fk6E3umo8kRsQ%2BuklcMXxsZ5YxnXDTf1Kyc58NvrJta4S%2B2%2B%2FTRx2zu%2F6oKslWuadUp8eJlxfwv%2FSlWplJvJaswEAHzh4%2BeL8l2tv4xYwKYCF2wSheYXztta1k90KwhYrfAVEmMb%2FMhECMzRrr9GyESxlku1GP2cO77NQ8rwXWH%2FZT5R1%2BjlF7bkTQ8Nd52Kp21V772GDnnMnHlc%2FGhB8Ps6FHHxGqpxVzRGw19j0yzTAth%2B3%2FWJ9ay6K11m8AUF2fdAdcaKmop9RAgTwGVjqS%2BF%2BGMYkU1raTVATfNozwezEu6VHQoi0o49NmcwB9mzLB%2BJoDpL%2B2LlMa15dcEvIWW%2BJzI76g1cUXnAibBRdGonrT%2FEnxk56fYdfcr1h3LCBm7mFiSST0XYYYqkWYkR5m9IcNPVHizPs97hnIUGFnRcKGFLRGeLaViot6u0guLSOsf%2F1fJFtGYhs24BuJ%2Fl0nvKSIP5QezyTMTbBxqInS1hYGXT95pDO7Yt7%2B8lQzEFyDp9eY%2FGO3Uatw6Sw01n00mzpHgBGl91xag8MW%2BlfFvlDRfEbhqL7f3kHSk6iO4WOW6NvFiTf3DEZwUx%2BFy%2BXHRYNUjFF3CAXMsHNw%3D&nv_mid=82226748630&cat_id=50000807,루즈핏,긴팔,롱,무지,모,V넥,기타,기타,img_82226748630_0.png
0,[BROW END /브로우엔드] BINDING FLARE DRESS (BABY PINK) 바인딩 플레어 드레스 원피스 (베이비 핑크),https://cr2.shopping.naver.com/adcr.nhn?x=lrxWY7%2BNINYbmzCLc6RBI%2F%2F%2F%2Fw%3D%3DsXtkB6nGWkP7ifLMmMe7vs%2FUB%2BTjpcbypFXrucWlnfiNBEZqNWjIBq94VuBvEo1ayIod303J%2FVUzHfz7B4bmi7mM5ywTNbvkDUq403b3HrmP3mrP9L3bKHJ%2FdpwvsNiiCJYdU%2F4mwTiIsXK8%2BYduCBnTmF6HxPZTlLZNTQUE%2F4Vyi7qbIchKln5NwWaA9%2BcKnc%2Bz03%2Fk6E3umo8kRsQ%2BuklcMXxsZ5YxnXDTf1Kyc58MvcwaJyugslJObIohizNgCHu7wPoLy4Qx6WfCrTn0je1JvJaswEAHzh4%2BeL8l2tv4xYwKYCF2wSheYXztta1k90KwhYrfAVEmMb%2FMhECMzRrr9GyESxlku1GP2cO77NQ83yH0naE1YOKAvkACkPZjhKpfEO4OTuAFw%2BiAFXifESo4FIdX0RH9maAYxxSnIi%2FGuyERcOYma9%2BukiEbLCH4wuaZwpT4Wa%2FwYLNfDE5WEidWUosEKgOyzw9iiTRY0VdqfHZC1D%2BaXZ4Tszgdv3E9Iw775tV4mtdQc%2F4qVU2EMdLGV8uEKab%2FXZxdCcjbgA93Dvnet6%2FYbYXoYz0%2BjRruzeWB1hZ7nIQavUTlNr8CD7wYpDIFD4t%2BkkYdgiFNO7eTRChzKZ4xGEb8RU7esvAJEzYiuandYSlk3hbJNSzo3BH4xOb0DTvAOOU2uDjsejMnnj0TomAqqk6boXQ%2ByF47NHqnw3X1OUqd1XcYBjZJuDyQSHkCc3FPxBytwWW7uB%2BYj473ThM7td%2FKeBUCDHQ5QlWIMDxkwP%2BtmdHajmO37IwlYKOg9T5IVkRJCfqvnqCFiSBLEJqkxETGNl8yBqe3LC50B58UIIJCHVq74QzceNWaQ9WDbUF2C9UeBLEENnO8%3D&nv_mid=82413110552&cat_id=50000807,기본핏,긴팔,롱,무지,"폴리에스테르, 면",칼라넥,A라인,기타,img_82413110552_0.png
0,[BROW END /브로우엔드] BINDING FLARE DRESS (NAVY) 바인딩 플레어 드레스 원피스 (네이비),https://cr2.shopping.naver.com/adcr.nhn?x=c20UG1Uq0YmvZa1b6QVrqv%2F%2F%2Fw%3D%3Dsd%2FBB2%2F3HacE7UgB9yiyL0kZ5FrLZ06ytt9%2FBDWs6vT0nWHFUrGF1hC6NIhcjMnck6td%2FX%2FwkU4UXI8Sy6HaCd4YlFAdf1OFsetsPTCIBnAtPOdYsvqvAV2kweJQXbUmG7HCWZL951A7h770YipocF05W9JXu3qijr2upgGlbnBowZ%2ByPs7lthStE6ImfxmIfmjoIjx30OIlJm44LKcmfv59%2Bw5fyb2S%2B0WKUIuNO0Akl8HAYn6NkzRDrGPGQ2ZUxcJRY9gzwtID9TN%2FJ8IR2FUaAb%2FOdjaJ2XbA%2BJKlL%2B499LsW4RgipVPKA%2F2IN4cAJ4mmic2vQ8l3OPvPdLBTB5%2B6UB08G4lR0a9fquA%2FPNrI8giaBvP19GJij1SREBwr4TrPCurzt03llGNhY0rufbo4FIdX0RH9maAYxxSnIi%2FGuyERcOYma9%2BukiEbLCH4w6hWj1h8STxGoUmshaJRIcdWUosEKgOyzw9iiTRY0VdqfHZC1D%2BaXZ4Tszgdv3E9Iw775tV4mtdQc%2F4qVU2EMdLGV8uEKab%2FXZxdCcjbgA92Yjg0P%2BN2wtXZg18b3IYh%2B3leF7xPUp7x%2BMtVL15F%2FbbVkNb2izMVkWGAbTPlIa%2FLfTKcqu%2F2J%2B1p%2FLTfBOT148mXEexW%2Fc6NlFkfc1sqBSycrq4mmC%2BY6zQgor3o7muHVS8lpF17l852GyINOomLhQWh4UDUTh9DSlUva1c7C%2FSi703SviORH1cdeY9zuIDmQOOeu%2FDdQ6vu4IHSkBvrE9dZp1on9kMC6L4Y8LGvnZDqNI3RChJUeHI73pYPiUMsr53aE2l1NLnxWmP0I5wx%2B6FkN5rQBrUQuQDQl1DUfmg%3D%3D&nv_mid=82413118040&cat_id=50000807,기본핏,긴팔,롱,무지,"폴리에스테르, 면",칼라넥,A라인,기타,img_82413118040_0.png
0,리본 브로치 라운드넥 심플라인 트위드 원피스 LWOPIK0801,https://cr2.shopping.naver.com/adcr.nhn?x=nJ2Rb3ekLjllr6%2FlGhY6cv%2F%2F%2Fw%3D%3DscGQC%2BRXDGhjZTvPUJjhT7g6LUov8WXY8iW8MTXengOI%2F5WqF0FIgNLQxIZvrF6uKB0zmt1g3bzY1hzVknhltUGM5ywTNbvkDUq403b3HrmP3mrP9L3bKHJ%2FdpwvsNiiCJYdU%2F4mwTiIsXK8%2BYduCBnTmF6HxPZTlLZNTQUE%2F4Vyi7qbIchKln5NwWaA9%2BcKnc%2Bz03%2Fk6E3umo8kRsQ%2BuklcMXxsZ5YxnXDTf1Kyc58NMMY1stIZS43GUJ5Lnn63%2BKfp%2B4TCLmh49rgATTF2EdlJvJaswEAHzh4%2BeL8l2tv4xYwKYCF2wSheYXztta1k90KwhYrfAVEmMb%2FMhECMzRrr9GyESxlku1GP2cO77NQ8fj%2BLrP93aa6sEquEhMOk1EJBEqJQqnggtwY9pGp4PsvGhB8Ps6FHHxGqpxVzRGw02ocRiN1huhwMK2a3Z1maow%2BS9IrZ%2B5BJI%2BMr5k5%2FsAFUV7G7epwixkhj2m7vd0wu%2FrDzPsm5caou0Nho4nJ2OaaucNclFUOHRxfEPCDKjMPTNpBhxd3xbyYXd5pXrnjb1fAJ8Pq4J1CBEg27ozTyWIFw2EtE9pSHaIHbzDq5Q234xOb0DTvAOOU2uDjsejMn2L7X%2FCarFnCJs559ZyL%2B0Hqnw3X1OUqd1XcYBjZJuD0SopD%2FShBa4qKT6kZ%2Bey%2B4SfT5CxNlchP%2BWYS23dCjwe0XSFDYmW61e5HlOwJ3kuPTTXmIMpC%2FOUwZxjmE8fqDOgsPoNMZwYw8bUkL03hY9S7iFQkBkzRZKsolfK175uWnDitGEQh9shi7HQh6Jopc3X5JHRxB17kdSSeS1uCOn&nv_mid=82324020058&cat_id=50000807,기본핏,긴팔,미디,기타,"아크릴, 나일론, 폴리에스테르",라운드넥,H라인,리본,img_82324020058_0.png
0,[베네통] 패턴 프릴 롱 원피스 (BAOP55031),https://cr2.shopping.naver.com/adcr.nhn?x=iUv5Aegemg0XJ28iorryAf%2F%2F%2Fw%3D%3DsYtw2oPS3Sd%2Fwi7oloYs97SEevdD66LViUgC62uMFF9Xj3ONITlPN6bHokjx1%2BYPOSn7NOHEQE7M7lFu7Y1GL%2B2Vyf4fEeIwpi1WJR%2F5%2FpReVK5hNxRUBW3Fkia%2BRgsFTExN1X3Y%2FBFvpNp75gHx47S8y5k9%2FTC8R0ZNsAjeykVtDetJ4Xy5XL%2Fu%2Fd%2B9dCMe0UaGimURpLp1cstwbh%2FL6ye56vr9h9VoFduCJdN2ys%2BL8sDxCrG1R0O6gc7aEEhECc8rfCyfAPGHu3P10LAp3HA7TOu%2BiZGPPbCns0fxzoFb4FjQLKtgpdaxOC6%2FeJ5KosPFNkchYwWiua4avTMsWH6fCLd0EJlKtx3WA4Dq2fB9v83M2DvHt1H1hyspBkLf4djjI%2BJ9XUezfVRtcY7w63PGhB8Ps6FHHxGqpxVzRGw1qeNEO4OHpdNbsNFLGTwCHAo%2FrRjic%2FCKqPJKOsrfZkDzS3wZ2JgZid%2BtJA0uJ2FTu2ND4rU4bT6xaCuPXDk3KdJteCw20HxykI2SDbHFqzrP9dgdjPbb1QkZC0r1zBxTeD86GQ%2FgSRNz5IfRV7f0W81Yi%2FsfjWg82I4fb2Hk%2F97Ixof9n65%2FqUskBosAJn67PKxIUyRWAMsAqtTEwOCdfLjmkjuu2uCQGnSp1tN3co8J56%2FkTeRAxALIDEj6IaJBvzwaAKfD2yxpOWZIZyztRAsqPCReEwaWk5aWWEvos1cQsthj2lZI5TRVi6%2BcXguipriw8i7QaRB49s6nqVTgLBw3b%2B5x0xiNxsJwxkW4Dqw%3D%3D&nv_mid=82383837851&cat_id=50000807,루즈핏,반팔,롱,프린트,폴리에스테르,V넥,A라인,프릴/러플,img_82383837851_0.png
0,미니멈탈부착스텐카라레이스원피스MTAAWO1510NA,https://cr2.shopping.naver.com/adcr.nhn?x=eLRuQVCVZUuzQY9ks3nN8%2F%2F%2F%2Fw%3D%3DsOUjo4PTN%2F2v96o8%2BnVb5VPlNHrwsslRrRhlfv0yhRWGA7CqjlsaMy%2BTgGSgs3uRO75hFSeN%2B1QWxjkoARuISZWVyf4fEeIwpi1WJR%2F5%2FpReVK5hNxRUBW3Fkia%2BRgsFTExN1X3Y%2FBFvpNp75gHx47S8y5k9%2FTC8R0ZNsAjeykVtDetJ4Xy5XL%2Fu%2Fd%2B9dCMe0UaGimURpLp1cstwbh%2FL6ye56vr9h9VoFduCJdN2ys%2BL8sDxCrG1R0O6gc7aEEhEC7U%2FPuT4jexdsWhr7P6a4Og7TOu%2BiZGPPbCns0fxzoFb4FjQLKtgpdaxOC6%2FeJ5KosPFNkchYwWiua4avTMsWH6fCLd0EJlKtx3WA4Dq2fB9cMavov%2FJooFqHOoxu805Afe%2FOcxB6vN%2Ft4RCUCqqoCI4FIdX0RH9maAYxxSnIi%2FGwCM8aPpQuscgk347kiHkS8MBl0wuqi2YBKKdZXnSsQ5P80L68e832%2FoS1LvBwCfMzsbphMcEXQDTVRK%2Fd71cSuvGi8Beb0s02OhMFaMsAczGorfINZTK72%2Ba7rChP8xTfoWps9rY%2Fp2ZHVuy9UQOChj79iosB6Kw5pX2CwjENzRMlbZUDXY9xD38H1piOFGeW6%2BF%2FEQiEMEXlhrToLbRBIst%2BPcxsjE%2BGEkcSoC5di%2BFVdsJTdgHy1ddoh9ht2sqyigUkb%2BoOZHync9wlvAhb4sMcTLlEVDwaw71%2FL%2BPr7S8Jh1vmBhUMsYp2RjjKvKbxKzqFyRVGeNGT7l3Tk4Vnjs%2FXofMvFnvPjcA2vzoepV6fEVNgH4gL0mpuYrCMyro%3D&nv_mid=82396450427&cat_id=50000807,기본핏,긴팔,미디,기타,폴리에스테르,칼라넥,H라인,레이스,img_82396450427_0.png
0,아이잗바바 레이스카라넥원피스 BJ4A0OPS0,https://cr2.shopping.naver.com/adcr.nhn?x=e5BIYTQI5xU9tGEmU06wDv%2F%2F%2Fw%3D%3DspHzMGvcNpvMqHt5XTipsnYxCm%2B4HEFk8t38A5zRczg1CKMBsx5wBy2mSIuXBvY%2FybGdo23PUO8gL4ZYLSOhmUWM5ywTNbvkDUq403b3HrmP3mrP9L3bKHJ%2FdpwvsNiiCJYdU%2F4mwTiIsXK8%2BYduCBnTmF6HxPZTlLZNTQUE%2F4Vyi7qbIchKln5NwWaA9%2BcKnc%2Bz03%2Fk6E3umo8kRsQ%2BuklcMXxsZ5YxnXDTf1Kyc58MvcwaJyugslJObIohizNgC%2FjNvGxSl5R3B84zPBY%2BiGlJvJaswEAHzh4%2BeL8l2tv4xYwKYCF2wSheYXztta1k90KwhYrfAVEmMb%2FMhECMzRrr9GyESxlku1GP2cO77NQ%2B0tmCrijJBvtR0VpFI5WHOnKJUHPOgUAzC9SVuXIwRnfGhB8Ps6FHHxGqpxVzRGw2rFL%2FgyvdNRwJ44wpxI6J5ZI5QotFarziTfXddrrJVb9mqicoJw3gVRt4q71%2FvX4r%2ByEtxYrR5Tiszrv%2BrKlqxUjaZCBdTjQIJJLw48HHuz3aX79zRSlm4vP2TFZUsvtViOQnIt%2FmVuAGKhxNFO1aUf5GktrEVPzLlu3pLgrL5CAc%2Bi8bQ%2BUnNs%2FRvBvBC%2FASJdNtAgmSErES6bTjgqyyDszAxtWFqUL46iPObqwNQA%2Fp5pffjYmDi1N99wX1JO8gIWfN8viLNxgH4UeCzu8Zwb2RtOWktVYike6WmDPTp79iE1Uz4115zWHG2BgFncdIvFmuorM6YfYLcfD8HSxwoXp8RU2AfiAvSam5isIzKug%3D%3D&nv_mid=82399666140&cat_id=50000807,기본핏,긴팔,미디,무지,폴리에스테르,칼라넥,H라인,레이스,img_82399666140_0.png
0,지고트  레이스소매포인트원피스  JK4A0OP63,https://cr2.shopping.naver.com/adcr.nhn?x=ElvKLjxXG6f%2FO0nO90qGEP%2F%2F%2Fw%3D%3DsfsJ3m3jNcjbY2wIMRaJZGdvaUAPiTiakvOhX5RiyKxJAwHdG8xaOlZ%2BmMdYCV2O62FN68xVjJdHXB305sdmQEoYlFAdf1OFsetsPTCIBnAtPOdYsvqvAV2kweJQXbUmG7HCWZL951A7h770YipocF05W9JXu3qijr2upgGlbnBowZ%2ByPs7lthStE6ImfxmIfmjoIjx30OIlJm44LKcmfv59%2Bw5fyb2S%2B0WKUIuNO0Akl8HAYn6NkzRDrGPGQ2ZUxVW9d8apwpmXd2IruIZ0UdkaAb%2FOdjaJ2XbA%2BJKlL%2B499LsW4RgipVPKA%2F2IN4cAJ4mmic2vQ8l3OPvPdLBTB5%2B6UB08G4lR0a9fquA%2FPNrIVYtxC2DY6nMTe6akSAhwQ6PgtoDm9Vpzj%2BOH0WxlgI%2FGhB8Ps6FHHxGqpxVzRGw0r2BPdUmVC7GapId7kXerE5iSI06CdL1pl55iNls9wjR%2F9mYish0fpbJ3FFLvMSZHc3yVL%2F%2Fy3yoXqcCjDtRDM272CeIAEnZ%2Byiiu58AkzfqBuXEK4TetTVWbEiExlKwIvQYYG%2FOnf%2BbnYG8bAKRTeLU3jufzLpXtZL923sUtVTNx%2FQUMI%2FfQ9yBN%2F8iaVIB%2BJdNtAgmSErES6bTjgqyyDr9pB3OP%2BHXghKKm%2Bbqzwtq2fyLJvhTMEGMFvTvTmSHICBSpOvkBs%2FzLJo%2F20%2Bd1stJNx0P%2FT%2FjyC5lCxXosddDqNI3RChJUeHI73pYPiUMtsVoaDyRp%2Ba7P9uHeafhVUCBTlDObEzJxCySiKuVs06g%3D%3D&nv_mid=82407702109&cat_id=50000807,슬림핏,7부,미디,무지,폴리에스테르,보트/입술넥,H라인,"레이스, 벨트",img_82407702109_0.png
